dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.007582,12.210940,12.959041,3.523763,-6.424123,0.236069,0.073490
0.020000,17.075321,12.215730,13.026950,3.395437,-6.416309,0.390694,0.067679
0.020000,17.140529,12.219965,13.092294,3.267232,-6.410229,0.303985,0.062038
0.020000,17.203201,12.223687,13.155076,3.139110,-6.406148,0.204061,0.056573
0.020000,17.263336,12.226933,13.215299,3.011139,-6.398521,0.381349,0.051291
0.020000,17.320932,12.229743,13.272964,2.883222,-6.395854,0.133368,0.046196
0.020000,17.375988,12.232153,13.328072,2.755427,-6.389739,0.305726,0.041295
0.020000,17.428502,12.234199,13.380626,2.627715,-6.385614,0.206261,0.036592
0.020000,17.478474,12.235916,13.430628,2.500077,-6.381921,0.184675,0.032092
0.020000,17.525903,12.237337,13.478078,2.372496,-6.379009,0.145560,0.027799
0.020000,17.570788,12.238494,13.522978,2.245008,-6.374397,0.230606,0.023717
0.020000,17.613129,12.239416,13.565330,2.117576,-6.371626,0.138574,0.019848
0.020000,17.652927,12.240133,13.605133,1.990191,-6.369264,0.118108,0.016198
0.020000,17.690180,12.240673,13.642391,1.862866,-6.366247,0.150812,0.012768
0.020000,17.724890,12.241061,13.677103,1.735602,-6.363184,0.153164,0.009561
0.020000,17.757056,12.241320,13.709270,1.608339,-6.363145,0.001937,0.006580
0.020000,17.786678,12.241474,13.738892,1.481148,-6.359572,0.178663,0.003827
0.020000,17.813758,12.241544,13.765972,1.353989,-6.357933,0.081961,0.001304
0.020000,17.838295,12.241548,13.790510,1.226864,-6.356244,0.084433,6.282197
0.020000,17.860290,12.241503,13.812505,1.099751,-6.355662,0.029098,6.280139
0.020000,17.879743,12.241426,13.831958,0.972669,-6.354115,0.077372,6.278315
0.020000,17.896655,12.241331,13.848870,0.845602,-6.353348,0.038338,6.276727
0.020000,17.911026,12.241228,13.863241,0.718566,-6.351761,0.079341,6.275376
0.020000,17.922857,12.241129,13.875072,0.591541,-6.351273,0.024392,6.274262
0.020000,17.932147,12.241042,13.884363,0.464543,-6.349877,0.069803,6.273387
0.020000,17.938897,12.240974,13.891113,0.337495,-6.352426,-0.127458,6.272751
0.020000,17.943107,12.240929,13.895323,0.210529,-6.348305,0.206079,6.272354
0.020000,17.944995,12.240908,13.897211,0.094401,-5.806370,27.096722,6.272175
0.020000,17.945412,12.240904,13.897629,0.020883,-3.675891,106.523984,6.272136
0.020000,17.945412,12.240904,13.897629,0.000000,-1.044174,131.585833,6.272136
