dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.785339,12.591472,13.750648,1.463740,-6.559336,-0.000000,0.003827
0.020000,17.813302,12.591544,13.778611,1.332554,-6.559336,0.000000,0.001304
0.020000,17.838641,12.591548,13.803950,1.201367,-6.559336,-0.000000,6.282197
0.020000,17.861357,12.591502,13.826666,1.070180,-6.559336,-0.000000,6.280139
0.020000,17.881448,12.591422,13.846757,0.938993,-6.559336,0.000000,6.278315
0.020000,17.898916,12.591323,13.864225,0.807807,-6.559336,0.000000,6.276727
0.020000,17.913759,12.591217,13.879070,0.676620,-6.559336,-0.000000,6.275376
0.020000,17.925980,12.591115,13.891290,0.545433,-6.559336,0.000000,6.274262
0.020000,17.935576,12.591025,13.900887,0.414247,-6.559336,-0.000000,6.273387
0.020000,17.942549,12.590955,13.907860,0.283060,-6.559336,0.000000,6.272751
0.020000,17.946898,12.590909,13.912209,0.151873,-6.559336,-0.000000,6.272354
0.020000,17.948848,12.590887,13.914159,0.043140,-5.436661,56.133733,6.272175
0.020000,17.949280,12.590882,13.914591,0.000000,-2.156993,163.983399,6.272136
0.020000,17.949280,12.590882,13.914591,0.000000,0.000000,107.849666,6.272136
